sku_id,sku_name,week_start,demand_units,data_label
SKU-1001,Alpha Widget A,2023-01-02,429,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-01-09,398,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-01-16,455,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-01-23,467,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-01-30,392,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-02-06,417,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-02-13,462,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-02-20,455,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-02-27,468,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-03-06,448,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-03-13,500,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-03-20,499,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-03-27,481,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-04-03,511,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-04-10,493,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-04-17,455,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-04-24,487,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-05-01,448,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-05-08,496,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-05-15,466,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-05-22,458,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-05-29,440,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-06-05,487,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-06-12,443,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-06-19,430,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-06-26,426,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-07-03,444,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-07-10,433,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-07-17,428,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-07-24,423,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-07-31,465,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-08-07,388,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-08-14,380,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-08-21,368,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-08-28,404,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-09-04,415,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-09-11,378,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-09-18,356,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-09-25,356,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-10-02,397,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-10-09,400,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-10-16,396,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-10-23,365,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-10-30,393,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-11-06,393,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-11-13,401,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-11-20,424,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-11-27,411,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-12-04,430,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-12-11,420,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-12-18,432,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2023-12-25,449,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-01-01,397,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-01-08,436,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-01-15,439,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-01-22,441,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-01-29,457,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-02-05,513,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-02-12,453,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-02-19,509,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-02-26,439,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-03-04,481,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-03-11,498,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-03-18,512,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-03-25,517,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-04-01,520,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-04-08,488,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-04-15,484,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-04-22,519,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-04-29,487,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-05-06,454,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-05-13,454,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-05-20,456,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-05-27,491,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-06-03,475,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-06-10,485,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-06-17,448,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-06-24,458,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-07-01,465,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-07-08,432,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-07-15,448,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-07-22,410,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-07-29,413,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-08-05,407,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-08-12,379,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-08-19,422,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-08-26,392,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-09-02,402,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-09-09,413,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-09-16,410,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-09-23,416,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-09-30,394,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-10-07,386,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-10-14,397,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-10-21,354,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-10-28,364,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-11-04,371,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-11-11,385,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-11-18,429,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-11-25,398,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-12-02,419,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-12-09,472,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-12-16,433,DEMO_SAMPLE
SKU-1001,Alpha Widget A,2024-12-23,470,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-01-02,163,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-01-09,180,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-01-16,170,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-01-23,184,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-01-30,209,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-02-06,165,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-02-13,207,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-02-20,206,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-02-27,193,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-03-06,179,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-03-13,208,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-03-20,198,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-03-27,213,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-04-03,209,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-04-10,237,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-04-17,203,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-04-24,188,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-05-01,208,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-05-08,206,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-05-15,225,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-05-22,213,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-05-29,201,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-06-05,218,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-06-12,166,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-06-19,173,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-06-26,164,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-07-03,170,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-07-10,148,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-07-17,181,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-07-24,162,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-07-31,136,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-08-07,141,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-08-14,162,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-08-21,169,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-08-28,187,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-09-04,202,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-09-11,155,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-09-18,129,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-09-25,107,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-10-02,150,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-10-09,131,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-10-16,138,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-10-23,136,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-10-30,146,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-11-06,169,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-11-13,155,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-11-20,152,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-11-27,139,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-12-04,130,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-12-11,155,DEMO_SAMPLE
SKU-1002,Beta Component B,2023-12-18,166,DEMO_SAMPLE
