week_start,actual,sku_id,sku_name,forecast_ma,forecast_linear
2024-11-04,371,SKU-1001,Alpha Widget A,375.2,427.3
2024-11-11,385,SKU-1001,Alpha Widget A,372.6,427.1
2024-11-18,429,SKU-1001,Alpha Widget A,366.5,426.8
2024-11-25,398,SKU-1001,Alpha Widget A,369.6,426.6
2024-12-02,419,SKU-1001,Alpha Widget A,371.0,426.4
2024-12-09,472,SKU-1001,Alpha Widget A,369.9,426.2
2024-12-16,433,SKU-1001,Alpha Widget A,369.2,425.9
2024-12-23,470,SKU-1001,Alpha Widget A,369.9,425.7
2024-11-04,150,SKU-1002,Beta Component B,141.0,159.7
2024-11-11,171,SKU-1002,Beta Component B,138.5,159.3
2024-11-18,150,SKU-1002,Beta Component B,139.9,159.0
2024-11-25,163,SKU-1002,Beta Component B,139.6,158.7
2024-12-02,117,SKU-1002,Beta Component B,139.7,158.4
2024-12-09,156,SKU-1002,Beta Component B,139.4,158.1
2024-12-16,145,SKU-1002,Beta Component B,139.7,157.7
2024-12-23,142,SKU-1002,Beta Component B,139.6,157.4
2024-11-04,84,SKU-1003,Gamma Assembly C,83.8,93.8
2024-11-11,74,SKU-1003,Gamma Assembly C,79.4,93.7
2024-11-18,84,SKU-1003,Gamma Assembly C,83.5,93.6
2024-11-25,106,SKU-1003,Gamma Assembly C,81.4,93.4
2024-12-02,100,SKU-1003,Gamma Assembly C,82.0,93.3
2024-12-09,116,SKU-1003,Gamma Assembly C,81.6,93.2
2024-12-16,112,SKU-1003,Gamma Assembly C,82.2,93.1
2024-12-23,106,SKU-1003,Gamma Assembly C,81.8,93.0
2024-11-04,202,SKU-1004,Delta Spare D,246.2,263.1
2024-11-11,221,SKU-1004,Delta Spare D,245.3,262.9
2024-11-18,220,SKU-1004,Delta Spare D,248.1,262.7
2024-11-25,206,SKU-1004,Delta Spare D,250.4,262.5
2024-12-02,246,SKU-1004,Delta Spare D,247.5,262.3
2024-12-09,283,SKU-1004,Delta Spare D,247.9,262.1
2024-12-16,265,SKU-1004,Delta Spare D,248.5,261.9
2024-12-23,280,SKU-1004,Delta Spare D,248.6,261.7
2024-11-04,48,SKU-1005,Epsilon Kit E,41.5,52.7
2024-11-11,48,SKU-1005,Epsilon Kit E,41.9,52.6
2024-11-18,56,SKU-1005,Epsilon Kit E,40.1,52.5
2024-11-25,54,SKU-1005,Epsilon Kit E,41.9,52.4
2024-12-02,58,SKU-1005,Epsilon Kit E,41.3,52.3
2024-12-09,49,SKU-1005,Epsilon Kit E,41.3,52.2
2024-12-16,64,SKU-1005,Epsilon Kit E,41.1,52.1
2024-12-23,71,SKU-1005,Epsilon Kit E,41.4,52.0
